id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1371350258924486663,1371350258924486663,"2021-03-15 07:39:14 Paris, Madrid",2021-03-15,07:39:14,+0100,1107333808330817536,tahirahasan2,Tahira Hasan,,Kashi Ram inculcated a sense of dignity self respect and social confidence with in dalit and he carried forward Ambedkar's vision #birth anniversary of kashiram ji  https://t.co/9IaEdQqa6a,en,[],[],['https://pbs.twimg.com/media/EwgDytYUUAMj9TF.jpg'],0,0,0,['birth'],[],https://twitter.com/TahiraHasan2/status/1371350258924486663,False,,1,https://pbs.twimg.com/media/EwgDytYUUAMj9TF.jpg,,,,,,,[],,,,
1371349262563299330,1371349262563299330,"2021-03-15 07:35:17 Paris, Madrid",2021-03-15,07:35:17,+0100,1019836625394679809,ncaa_pmu,National Cultural Audiovisual Archives,,"#F is for Shri Fakir #Mohan Senapati! Check out an #archival #audio of a #forum on 150th #birth centenary of the #author, from the #repository of @NCAA_PMU:   https://t.co/VqXrlrvBt3  #ExploreYourArchive #ArchivesAtHome #OpenAccess #ArchiveZ #AtoZ #EkBharatShresthaBharat  https://t.co/DJsw5FRS9X",en,"[{'screen_name': 'ncaa_pmu', 'name': 'national cultural audiovisual archives', 'id': '1019836625394679809'}]",['http://ncaa.gov.in/repository/search/displaySearchRecordPreview/SAK-188_1-AC'],['https://pbs.twimg.com/media/EwgCv_2VoAAiskU.jpg'],0,2,5,"['f', 'mohan', 'archival', 'audio', 'forum', 'birth', 'author', 'repository', 'exploreyourarchive', 'archivesathome', 'openaccess', 'archivez', 'atoz', 'ekbharatshresthabharat']",[],https://twitter.com/NCAA_PMU/status/1371349262563299330,False,,1,https://pbs.twimg.com/media/EwgCv_2VoAAiskU.jpg,,,,,,,[],,,,
1371341477054275584,1371341477054275584,"2021-03-15 07:04:21 Paris, Madrid",2021-03-15,07:04:21,+0100,935069872572133376,letters_num_and,.,,I remember being born. #Birth #Memory,en,[],[],[],0,0,0,"['birth', 'memory']",[],https://twitter.com/letters_num_and/status/1371341477054275584,False,,0,,,,,,,,[],,,,
1371333894360887298,1371333894360887298,"2021-03-15 06:34:13 Paris, Madrid",2021-03-15,06:34:13,+0100,1135252326900305920,dnxtv,DNX TV,,"महिला ने मछली जैसे शरीर वाले एक अनोखे बच्चे को जन्म दिया, जानें क्या हैं पूरा मामला   https://t.co/s58L1I8AIB . . . #Women #Fish #bodyUniqueChildren #Birth",hi,[],['http://dainandini.in/woman-gives-birth-to-a-unique-baby-with-fish-like-body-know/#'],[],0,0,0,"['women', 'fish', 'bodyuniquechildren', 'birth']",[],https://twitter.com/DnxTv/status/1371333894360887298,False,,0,,,,,,,,[],,,,
1371330819936153600,1371330819936153600,"2021-03-15 06:22:00 Paris, Madrid",2021-03-15,06:22:00,+0100,53003701,sillymickel,Mickel Adzema,,"Birth &amp; before: The vision of ourselves arising from this new research is the most important one for understanding our humanicidal, ecocidal plunge &amp; for doing something to reverse it.   https://t.co/P27iJs933n #psychology #birth #perinatal #activism #FBR #eco #resist #prenatal",en,[],['https://mladzema.wordpress.com/2019/08/02/wdc/'],[],0,0,1,"['psychology', 'birth', 'perinatal', 'activism', 'fbr', 'eco', 'resist', 'prenatal']",[],https://twitter.com/sillymickel/status/1371330819936153600,False,,0,,,,,,,,[],,,,
1371328706338197505,1371328706338197505,"2021-03-15 06:13:36 Paris, Madrid",2021-03-15,06:13:36,+0100,194928043,mammypi,Mammypi FashionTV,"{'type': 'Point', 'coordinates': [51.50208945, -0.19374174]}","𝕭𝖎𝖗𝖙𝖍𝖉𝖆𝖞👑  #birthday #birthdaycake #birthdaygirl #birth #birthdayballoons #birthdaygifts #celebrate #grammys #grammyawards #dababy #beyonce #celebrations #cake #cakedecorating @ Kensington, United Kingdom  https://t.co/szkki44Zvi",en,[],['https://www.instagram.com/p/CMbVkaJBwdy/?igshid=kouh54cgebr8'],[],0,0,0,"['birthday', 'birthdaycake', 'birthdaygirl', 'birth', 'birthdayballoons', 'birthdaygifts', 'celebrate', 'grammys', 'grammyawards', 'dababy', 'beyonce', 'celebrations', 'cake', 'cakedecorating']",[],https://twitter.com/Mammypi/status/1371328706338197505,False,,0,,,,,,,,[],,,,
1371315026108252171,1371315026108252171,"2021-03-15 05:19:14 Paris, Madrid",2021-03-15,05:19:14,+0100,3327739346,piratefamilyfun,Pirate Family,,"Lying-in: Rest, recovery, and bonding after a #birth. #pregnancy #postpartum  https://t.co/2kqNP6ezEI",en,[],['http://www.hobomama.com/2015/05/lying-in-rest-recovery-and-bonding.html'],[],0,0,0,"['birth', 'pregnancy', 'postpartum']",[],https://twitter.com/piratefamilyfun/status/1371315026108252171,False,,0,,,,,,,,[],,,,
1371295890896351233,1371295890896351233,"2021-03-15 04:03:12 Paris, Madrid",2021-03-15,04:03:12,+0100,980793776372248578,mahantbharatra1,Mahant BR Singh.,,"Today, we honour and remember #Braveheart Major Sandeep Unnikrishnan, #AshokaChakra (P) on his #birth anniversary today.   He fought gallantly for nation before making ultimate sacrifice during an Op #BlackTornado in 2008.  https://t.co/DsdMiuY6J9",en,[],[],['https://pbs.twimg.com/media/EwfSVaFWYAEvLqA.jpg'],0,0,2,"['braveheart', 'ashokachakra', 'birth', 'blacktornado']",[],https://twitter.com/MahantBharatRa1/status/1371295890896351233,False,,1,https://pbs.twimg.com/media/EwfSVaFWYAEvLqA.jpg,,,,,,,[],,,,
1371292992900796419,1371292992900796419,"2021-03-15 03:51:41 Paris, Madrid",2021-03-15,03:51:41,+0100,1370942061214457862,kshitizsenchury,kshitiz senchury,,life at pashupati. from death to birth we all being in this place. #blogger #nepal #pashupatinath #birth #death #fire #WorldHeritage #photography #PhotoOfTheDay #photoblogger #Twiter #kathmandu #aaraghat  https://t.co/T17TxS3KgV,en,[],[],['https://pbs.twimg.com/media/EwfO6c3VoAAdssy.jpg'],0,1,2,"['blogger', 'nepal', 'pashupatinath', 'birth', 'death', 'fire', 'worldheritage', 'photography', 'photooftheday', 'photoblogger', 'twiter', 'kathmandu', 'aaraghat']",[],https://twitter.com/KshitizSenchury/status/1371292992900796419,False,,1,https://pbs.twimg.com/media/EwfO6c3VoAAdssy.jpg,,,,,,,[],,,,
1371285521494773762,1371285521494773762,"2021-03-15 03:22:00 Paris, Madrid",2021-03-15,03:22:00,+0100,53003701,sillymickel,Mickel Adzema,,"WDC 25/53 Furthermore, we are still dangling on a thread, facing a nuclear apocalypse at any time. With the crazy people who are running the governments of the world, anything can happen.   https://t.co/s2rWb5xxg4 #psychology #birth #perinatal #activism #FBR #eco #resist #prenatal",en,[],['https://sillymickel.blogspot.com/2019/08/global-healing-crisis-necessary-hero.html'],[],0,0,0,"['psychology', 'birth', 'perinatal', 'activism', 'fbr', 'eco', 'resist', 'prenatal']",[],https://twitter.com/sillymickel/status/1371285521494773762,False,,0,,,,,,,,[],,,,
